month,year,gross_turnover_inr,tax_paid_inr,filing_status,filing_delay_days,itc_claimed_inr,business_id
06,2025,1180357.46,212464.34,Late,36,82003.66,MSME_602830083
07,2025,930371.33,167466.84,Late,32,26411.79,MSME_602830083
08,2025,1110976.3,199975.73,Filed,17,71242.78,MSME_602830083
09,2025,1092878.92,196718.2,Filed,1,54812.72,MSME_602830083
10,2025,1105865.87,199055.86,Late,38,25448.41,MSME_602830083
11,2025,1142531.01,205655.58,Filed,25,22283.04,MSME_602830083
12,2025,1163602.26,209448.41,Filed,23,61639.9,MSME_602830083
01,2026,1063161.69,191369.1,Late,42,63597.14,MSME_602830083
02,2026,1214039.92,218527.19,Filed,1,35814.37,MSME_602830083
03,2026,1188527.93,213935.03,Late,30,84964.97,MSME_602830083
04,2026,1106159.04,199108.63,Filed,0,22243.99,MSME_602830083
05,2026,1067109.38,192079.69,Late,38,59829.31,MSME_602830083
06,2026,979879.0,176378.22,Filed,0,37343.51,MSME_602830083
07,2024,4504171.88,810750.94,Filed,0,111448.18,MSME_464024553
08,2024,4913844.46,884492.0,Filed,0,110617.95,MSME_464024553
09,2024,4893057.39,880750.33,Filed,0,340226.13,MSME_464024553
10,2024,5096099.77,917297.96,Filed,0,315498.02,MSME_464024553
11,2024,4827562.2,868961.2,Filed,0,200074.53,MSME_464024553
12,2024,5299844.74,953972.05,Filed,0,224672.06,MSME_464024553
01,2025,5489982.92,988196.93,Filed,0,354734.78,MSME_464024553
02,2025,5306847.5,955232.55,Filed,0,271574.26,MSME_464024553
03,2025,5074188.19,913353.87,Filed,0,297324.29,MSME_464024553
04,2025,5377794.6,968003.03,Filed,0,237075.65,MSME_464024553
05,2025,5351596.63,963287.39,Filed,0,361558.54,MSME_464024553
06,2025,5703263.96,1026587.51,Filed,0,106760.91,MSME_464024553
07,2025,5471594.48,984887.01,Filed,0,310875.76,MSME_464024553
08,2025,5046834.12,908430.14,Filed,0,197866.67,MSME_464024553
09,2025,5540942.41,997369.63,Filed,0,202470.03,MSME_464024553
10,2025,5884958.18,1059292.47,Filed,0,176017.35,MSME_464024553
11,2025,5507243.82,991303.89,Filed,0,196108.22,MSME_464024553
12,2025,6210570.89,1117902.76,Filed,0,348692.09,MSME_464024553
01,2026,5448733.99,980772.12,Filed,0,103259.98,MSME_464024553
02,2026,5324615.86,958430.86,Filed,0,336516.02,MSME_464024553
03,2026,5968288.72,1074291.97,Filed,0,187497.89,MSME_464024553
04,2026,6087974.48,1095835.41,Filed,0,384730.85,MSME_464024553
05,2026,5713988.29,1028517.89,Filed,0,210321.08,MSME_464024553
06,2026,5911581.28,1064084.63,Filed,0,258716.33,MSME_464024553
07,2024,3103420.59,558615.71,Filed,5,192482.38,MSME_182380024
08,2024,2890466.75,520284.01,Filed,29,190846.98,MSME_182380024
09,2024,3460894.69,622961.04,Filed,0,117990.39,MSME_182380024
10,2024,3581639.69,644695.14,Late,39,159320.89,MSME_182380024
11,2024,3423254.9,616185.88,Late,34,134937.03,MSME_182380024
12,2024,3705405.63,666973.01,Filed,0,192596.7,MSME_182380024
01,2025,3402509.91,612451.78,Filed,0,88066.2,MSME_182380024
02,2025,2952259.21,531406.66,Filed,24,68685.6,MSME_182380024
03,2025,3446294.21,620332.96,Filed,0,137336.35,MSME_182380024
04,2025,3790611.35,682310.04,Filed,0,247195.19,MSME_182380024
05,2025,3033338.26,546000.89,Filed,0,106559.96,MSME_182380024
06,2025,4026193.86,724714.89,Filed,0,104995.2,MSME_182380024
07,2025,2817364.62,507125.63,Filed,18,189285.76,MSME_182380024
08,2025,2419649.35,435536.88,Filed,7,76923.88,MSME_182380024
09,2025,3200121.85,576021.93,Late,36,152933.88,MSME_182380024
10,2025,3497599.13,629567.84,Filed,5,69203.66,MSME_182380024
11,2025,2625802.16,472644.39,Filed,4,76365.64,MSME_182380024
12,2025,2922322.84,526018.11,Filed,0,55479.3,MSME_182380024
01,2026,2996181.47,539312.66,Filed,0,144461.93,MSME_182380024
02,2026,3108405.76,559513.04,Late,41,73328.16,MSME_182380024
03,2026,3141943.06,565549.75,Filed,23,217471.95,MSME_182380024
04,2026,2670490.48,480688.29,Filed,25,121038.52,MSME_182380024
05,2026,2606972.61,469255.07,Filed,0,70251.08,MSME_182380024
06,2026,2877988.02,518037.84,Filed,0,130385.4,MSME_182380024
07,2024,4781350.59,860643.11,Filed,0,108891.14,MSME_389744086
08,2024,4551315.62,819236.81,Filed,29,245709.18,MSME_389744086
09,2024,3977842.95,716011.73,Filed,26,164409.31,MSME_389744086
10,2024,5054435.28,909798.35,Filed,0,255747.47,MSME_389744086
11,2024,3692996.16,664739.31,Filed,0,167083.06,MSME_389744086
12,2024,4619411.49,831494.07,Filed,0,271609.72,MSME_389744086
01,2025,4946964.52,890453.61,Filed,0,118626.66,MSME_389744086
02,2025,3727761.56,670997.08,Filed,0,144075.97,MSME_389744086
03,2025,3958503.45,712530.62,Filed,0,169924.91,MSME_389744086
04,2025,4536868.34,816636.3,Filed,0,237996.36,MSME_389744086
05,2025,3623392.02,652210.56,Filed,0,133455.55,MSME_389744086
06,2025,4205991.35,757078.44,Filed,0,238387.67,MSME_389744086
07,2025,3826268.62,688728.35,Filed,0,100806.89,MSME_389744086
08,2025,4759512.33,856712.22,Filed,0,296891.11,MSME_389744086
09,2025,4368112.8,786260.3,Filed,6,216017.36,MSME_389744086
10,2025,4377758.84,787996.59,Filed,0,157598.23,MSME_389744086
11,2025,2939585.2,529125.34,Filed,0,137429.03,MSME_389744086
12,2025,4233869.17,762096.45,Filed,2,263359.2,MSME_389744086
01,2026,4932210.88,887797.96,Filed,0,183630.1,MSME_389744086
02,2026,4279365.38,770285.77,Filed,0,148095.48,MSME_389744086
03,2026,4304293.96,774772.91,Filed,14,153371.79,MSME_389744086
04,2026,4587314.4,825716.59,Filed,0,143755.33,MSME_389744086
05,2026,4513438.89,812419.0,Filed,0,160315.83,MSME_389744086
06,2026,4015104.66,722718.84,Filed,0,89012.7,MSME_389744086
07,2024,1473441.7,265219.51,Filed,0,48684.59,MSME_376463019
08,2024,1305792.45,235042.64,Filed,0,69374.69,MSME_376463019
09,2024,1469318.38,264477.31,Filed,0,49379.27,MSME_376463019
10,2024,1504357.15,270784.29,Filed,0,94403.69,MSME_376463019
11,2024,1619749.6,291554.93,Filed,0,58978.69,MSME_376463019
12,2024,1498485.25,269727.34,Filed,0,41005.99,MSME_376463019
01,2025,1521601.86,273888.34,Filed,0,107639.19,MSME_376463019
02,2025,1601553.12,288279.56,Filed,0,46649.76,MSME_376463019
03,2025,1584174.15,285151.35,Filed,0,58955.61,MSME_376463019
04,2025,1472894.52,265121.01,Filed,0,44121.42,MSME_376463019
05,2025,1662881.48,299318.67,Filed,0,47006.48,MSME_376463019
06,2025,1562923.8,281326.28,Filed,0,69386.63,MSME_376463019
07,2025,1610844.29,289951.97,Filed,0,50614.58,MSME_376463019
08,2025,1710493.54,307888.84,Filed,0,112714.7,MSME_376463019
09,2025,1538694.39,276964.99,Filed,0,91388.83,MSME_376463019
10,2025,1740964.26,313373.57,Filed,0,80791.1,MSME_376463019
11,2025,1675221.97,301539.96,Filed,8,110036.68,MSME_376463019
12,2025,1658574.18,298543.35,Filed,0,40335.33,MSME_376463019
01,2026,1649625.01,296932.5,Filed,0,56491.26,MSME_376463019
02,2026,1704824.03,306868.33,Filed,0,49072.11,MSME_376463019
03,2026,1735740.08,312433.21,Filed,0,122579.12,MSME_376463019
04,2026,1637428.69,294737.16,Filed,0,79987.02,MSME_376463019
05,2026,1815507.13,326791.28,Filed,0,57529.48,MSME_376463019
06,2026,1798425.3,323716.55,Filed,0,118809.23,MSME_376463019
07,2024,3833558.78,690040.58,Filed,0,111275.8,MSME_109492877
08,2024,4355168.53,783930.34,Filed,0,170086.39,MSME_109492877
09,2024,4402406.42,792433.16,Filed,0,156212.12,MSME_109492877
10,2024,3962115.11,713180.72,Filed,0,130510.07,MSME_109492877
11,2024,4167766.91,750198.04,Filed,0,83598.29,MSME_109492877
12,2024,4429816.72,797367.01,Filed,0,213484.3,MSME_109492877
01,2025,4035410.79,726373.94,Filed,0,196161.64,MSME_109492877
02,2025,4427391.22,796930.42,Filed,0,301024.47,MSME_109492877
03,2025,4589805.7,826165.03,Filed,0,244204.17,MSME_109492877
04,2025,4341938.99,781549.02,Filed,0,91412.67,MSME_109492877
05,2025,4246679.79,764402.36,Filed,0,289571.38,MSME_109492877
06,2025,4178746.42,752174.36,Filed,0,229005.58,MSME_109492877
07,2025,4214857.39,758674.33,Filed,0,152758.25,MSME_109492877
08,2025,4714350.55,848583.1,Filed,0,199634.02,MSME_109492877
09,2025,4465365.61,803765.81,Filed,0,117719.72,MSME_109492877
10,2025,4708098.65,847457.76,Filed,0,322972.94,MSME_109492877
11,2025,4368162.57,786269.26,Filed,0,207150.69,MSME_109492877
12,2025,4758842.51,856591.65,Filed,0,246435.73,MSME_109492877
01,2026,4505869.93,811056.59,Filed,0,253301.83,MSME_109492877
02,2026,4726608.31,850789.5,Filed,0,111702.81,MSME_109492877
03,2026,4366090.13,785896.22,Filed,0,245867.98,MSME_109492877
04,2026,4656395.53,838151.2,Filed,0,148997.99,MSME_109492877
05,2026,4693028.2,844745.08,Filed,0,257562.5,MSME_109492877
06,2026,4857423.84,874336.29,Filed,0,233081.71,MSME_109492877
07,2024,4382034.65,788766.24,Filed,0,158020.12,MSME_907927242
08,2024,4602397.17,828431.49,Late,31,289329.21,MSME_907927242
09,2024,4390952.46,790371.44,Filed,0,180808.5,MSME_907927242
10,2024,4330114.7,779420.65,Late,35,179269.08,MSME_907927242
11,2024,3787106.99,681679.26,Filed,15,140629.05,MSME_907927242
12,2024,3737304.52,672714.81,Filed,3,204598.44,MSME_907927242
01,2025,3661402.3,659052.41,Filed,0,94843.5,MSME_907927242
02,2025,3219428.18,579497.07,Filed,4,105035.68,MSME_907927242
03,2025,3157973.01,568435.14,Filed,19,137456.92,MSME_907927242
04,2025,3254664.31,585839.58,Filed,27,87612.56,MSME_907927242
05,2025,4330443.06,779479.75,Filed,13,194859.71,MSME_907927242
06,2025,3610701.18,649926.21,Filed,0,198764.01,MSME_907927242
07,2025,4114267.71,740568.19,Filed,16,237868.23,MSME_907927242
08,2025,3821816.61,687926.99,Filed,0,202339.97,MSME_907927242
09,2025,3242273.19,583609.17,Filed,5,133145.25,MSME_907927242
10,2025,3491478.29,628466.09,Filed,18,182651.28,MSME_907927242
11,2025,3234589.29,582226.07,Filed,8,202494.57,MSME_907927242
12,2025,3639863.59,655175.45,Filed,0,208770.69,MSME_907927242
01,2026,2857381.37,514328.65,Late,40,119977.28,MSME_907927242
02,2026,3214916.9,578685.04,Filed,7,197911.5,MSME_907927242
03,2026,3114859.98,560674.8,Filed,15,146850.25,MSME_907927242
04,2026,3068568.74,552342.37,Late,38,114206.57,MSME_907927242
05,2026,3753528.83,675635.19,Filed,3,110912.2,MSME_907927242
06,2026,2825220.12,508539.62,Filed,0,170268.2,MSME_907927242
07,2024,805781.55,145040.68,Filed,0,42412.23,MSME_265345694
08,2024,599692.01,107944.56,Late,33,16625.89,MSME_265345694
09,2024,707316.21,127316.92,Filed,1,37647.92,MSME_265345694
10,2024,705695.4,127025.17,Filed,0,43003.62,MSME_265345694
11,2024,800192.99,144034.74,Filed,17,43140.32,MSME_265345694
12,2024,634408.34,114193.5,Late,31,16832.78,MSME_265345694
01,2025,785183.26,141332.99,Filed,0,54290.46,MSME_265345694
02,2025,788778.32,141980.1,Filed,21,51257.58,MSME_265345694
03,2025,712493.93,128248.91,Late,40,33114.35,MSME_265345694
04,2025,720144.75,129626.05,Filed,23,13759.69,MSME_265345694
05,2025,734625.71,132232.63,Filed,0,52181.89,MSME_265345694
06,2025,844486.2,152007.52,Filed,26,22298.15,MSME_265345694
07,2025,731441.83,131659.53,Filed,22,46169.51,MSME_265345694
08,2025,644167.08,115950.07,Filed,29,24408.96,MSME_265345694
09,2025,677040.62,121867.31,Filed,0,23955.4,MSME_265345694
10,2025,532937.56,95928.76,Filed,7,15130.05,MSME_265345694
11,2025,686232.9,123521.92,Filed,10,15773.77,MSME_265345694
12,2025,667685.88,120183.46,Filed,0,18521.13,MSME_265345694
01,2026,758467.07,136524.07,Late,34,33016.83,MSME_265345694
02,2026,648424.82,116716.47,Filed,0,38548.02,MSME_265345694
03,2026,766895.97,138041.27,Filed,0,27334.09,MSME_265345694
04,2026,604225.67,108760.62,Filed,10,37048.46,MSME_265345694
05,2026,652467.3,117444.11,Filed,0,25435.35,MSME_265345694
06,2026,535197.12,96335.48,Filed,0,30042.96,MSME_265345694
07,2024,646914.02,116444.52,Filed,0,43092.79,MSME_323044670
08,2024,663132.23,119363.8,Filed,0,34866.7,MSME_323044670
09,2024,678146.49,122066.37,Filed,0,39539.3,MSME_323044670
10,2024,635599.79,114407.96,Filed,0,33283.77,MSME_323044670
11,2024,612714.02,110288.52,Filed,0,38497.26,MSME_323044670
12,2024,637636.85,114774.63,Filed,0,41654.34,MSME_323044670
01,2025,646504.54,116370.82,Filed,0,33029.44,MSME_323044670
02,2025,693313.04,124796.35,Filed,0,23811.75,MSME_323044670
03,2025,666639.53,119995.12,Filed,8,30512.31,MSME_323044670
04,2025,696293.31,125332.8,Filed,0,30203.62,MSME_323044670
05,2025,647977.16,116635.89,Filed,0,12582.85,MSME_323044670
06,2025,680181.22,122432.62,Filed,0,21651.03,MSME_323044670
07,2025,624372.89,112387.12,Filed,0,32011.03,MSME_323044670
08,2025,728511.96,131132.15,Filed,0,37219.48,MSME_323044670
09,2025,614351.25,110583.22,Filed,0,31843.27,MSME_323044670
10,2025,682115.39,122780.77,Filed,0,21615.84,MSME_323044670
11,2025,679730.77,122351.54,Filed,0,19945.72,MSME_323044670
12,2025,711267.38,128028.13,Filed,0,49136.33,MSME_323044670
01,2026,722468.81,130044.39,Filed,0,19351.16,MSME_323044670
02,2026,711788.32,128121.9,Filed,0,43518.89,MSME_323044670
03,2026,755457.09,135982.28,Filed,0,41352.39,MSME_323044670
04,2026,732436.0,131838.48,Filed,0,47476.73,MSME_323044670
05,2026,712309.88,128215.78,Filed,0,31958.61,MSME_323044670
06,2026,758853.17,136593.57,Filed,0,53231.18,MSME_323044670
07,2024,3376414.67,607754.64,Filed,0,171728.97,MSME_293316219
08,2024,3124045.28,562328.15,Filed,26,206713.95,MSME_293316219
09,2024,2385974.48,429475.41,Filed,24,126018.19,MSME_293316219
10,2024,3704832.05,666869.77,Filed,26,255239.76,MSME_293316219
11,2024,2972989.74,535138.15,Filed,25,151672.12,MSME_293316219
12,2024,2855800.0,514044.0,Filed,0,176824.56,MSME_293316219
01,2025,2742802.19,493704.39,Filed,0,110174.58,MSME_293316219
02,2025,2767020.16,498063.63,Filed,20,189711.91,MSME_293316219
03,2025,2761198.24,497015.68,Filed,7,95956.28,MSME_293316219
04,2025,2649318.1,476877.26,Filed,7,183450.27,MSME_293316219
05,2025,2836699.84,510605.97,Filed,0,68936.66,MSME_293316219
06,2025,2914381.56,524588.68,Filed,29,143099.0,MSME_293316219
07,2025,2593159.26,466768.67,Filed,26,175951.61,MSME_293316219
08,2025,2945629.08,530213.23,Filed,0,149418.73,MSME_293316219
09,2025,3030292.4,545452.63,Filed,24,79467.45,MSME_293316219
10,2025,2543729.99,457871.4,Filed,0,131614.43,MSME_293316219
11,2025,3308804.43,595584.8,Filed,16,231248.35,MSME_293316219
12,2025,2597427.63,467536.97,Filed,18,166730.14,MSME_293316219
01,2026,3002316.59,540416.99,Late,36,169743.62,MSME_293316219
02,2026,2198353.49,395703.63,Filed,0,109556.27,MSME_293316219
03,2026,2638022.13,474843.98,Filed,26,77401.19,MSME_293316219
04,2026,2290821.36,412347.85,Filed,9,134980.92,MSME_293316219
05,2026,2232794.88,401903.08,Filed,26,53544.38,MSME_293316219
06,2026,2387506.62,429751.19,Filed,11,99913.56,MSME_293316219
07,2024,699170.4,125850.67,Filed,0,47621.93,MSME_097089452
08,2024,577262.4,103907.23,Filed,7,17951.53,MSME_097089452
09,2024,586062.26,105491.21,Late,44,27903.07,MSME_097089452
10,2024,536280.3,96530.45,Late,35,30081.61,MSME_097089452
11,2024,583563.88,105041.5,Filed,7,18366.53,MSME_097089452
12,2024,523437.28,94218.71,Late,43,11853.43,MSME_097089452
01,2025,583652.85,105057.51,Filed,1,34129.27,MSME_097089452
02,2025,611925.45,110146.58,Filed,7,19382.05,MSME_097089452
03,2025,586311.21,105536.02,Filed,17,35354.08,MSME_097089452
04,2025,605586.54,109005.58,Filed,0,30687.99,MSME_097089452
05,2025,713712.55,128468.26,Filed,7,28407.43,MSME_097089452
06,2025,644638.26,116034.89,Late,34,36219.32,MSME_097089452
07,2025,578308.89,104095.6,Late,38,11614.37,MSME_097089452
08,2025,607971.62,109434.89,Late,33,23066.42,MSME_097089452
09,2025,624785.81,112461.45,Filed,29,42089.95,MSME_097089452
10,2025,556945.34,100250.16,Filed,17,25182.22,MSME_097089452
11,2025,667206.44,120097.16,Filed,25,32493.96,MSME_097089452
12,2025,468546.65,84338.4,Filed,0,10435.79,MSME_097089452
01,2026,537778.54,96800.14,Late,38,20659.71,MSME_097089452
02,2026,426923.44,76846.22,Filed,27,21489.57,MSME_097089452
03,2026,363446.46,65420.36,Filed,22,20921.87,MSME_097089452
04,2026,520963.18,93773.37,Filed,0,10800.66,MSME_097089452
05,2026,417172.6,75091.07,Filed,22,26838.8,MSME_097089452
06,2026,460744.96,82934.09,Filed,6,10575.35,MSME_097089452
07,2024,3774689.47,679444.11,Filed,0,115253.33,MSME_931647358
08,2024,3749642.57,674935.66,Filed,0,171118.34,MSME_931647358
09,2024,3946277.56,710329.96,Filed,0,227136.7,MSME_931647358
10,2024,3847838.65,692610.96,Filed,0,91348.79,MSME_931647358
11,2024,3889441.7,700099.51,Filed,0,257947.51,MSME_931647358
12,2024,3874210.04,697357.81,Filed,0,253307.95,MSME_931647358
01,2025,4078108.38,734059.51,Filed,0,96809.87,MSME_931647358
02,2025,4003348.79,720602.78,Filed,0,98686.22,MSME_931647358
03,2025,3819006.1,687421.1,Filed,0,249879.43,MSME_931647358
04,2025,3919493.01,705508.74,Filed,0,95695.52,MSME_931647358
05,2025,4234275.34,762169.56,Filed,0,241692.18,MSME_931647358
06,2025,4032802.32,725904.42,Filed,0,284397.12,MSME_931647358
07,2025,4105571.07,739002.79,Filed,0,189128.82,MSME_931647358
08,2025,4011607.59,722089.37,Filed,0,210169.77,MSME_931647358
09,2025,4619341.07,831481.39,Filed,0,255577.66,MSME_931647358
10,2025,4451818.78,801327.38,Filed,0,306271.89,MSME_931647358
11,2025,4371932.93,786947.93,Filed,0,82879.81,MSME_931647358
12,2025,4503921.14,810705.81,Filed,0,211634.22,MSME_931647358
01,2026,4406548.43,793178.72,Filed,0,237478.84,MSME_931647358
02,2026,4142348.75,745622.77,Filed,0,276800.8,MSME_931647358
03,2026,4398363.43,791705.42,Filed,0,159613.69,MSME_931647358
04,2026,4701387.12,846249.68,Filed,0,249119.95,MSME_931647358
05,2026,5007051.78,901269.32,Filed,0,105379.92,MSME_931647358
06,2026,4778188.05,860073.85,Filed,0,230286.16,MSME_931647358
07,2024,5149604.84,926928.87,Filed,0,115300.83,MSME_525957563
08,2024,4322229.22,778001.26,Filed,0,80763.27,MSME_525957563
09,2024,3986747.96,717614.63,Filed,12,195281.01,MSME_525957563
10,2024,3548675.61,638761.61,Filed,0,169017.8,MSME_525957563
11,2024,3632111.27,653780.03,Filed,21,102173.86,MSME_525957563
12,2024,3945435.82,710178.45,Filed,0,177660.41,MSME_525957563
01,2025,3601260.11,648226.82,Filed,17,145854.07,MSME_525957563
02,2025,3673746.99,661274.46,Filed,0,151167.99,MSME_525957563
03,2025,4301323.37,774238.21,Filed,0,190719.59,MSME_525957563
04,2025,4294438.78,772998.98,Filed,0,257944.93,MSME_525957563
05,2025,3566102.76,641898.5,Filed,18,174620.41,MSME_525957563
06,2025,3387806.77,609805.22,Filed,0,241718.09,MSME_525957563
07,2025,3582720.75,644889.74,Filed,0,217899.89,MSME_525957563
08,2025,4146152.37,746307.43,Filed,0,272817.6,MSME_525957563
09,2025,3898112.68,701660.28,Late,33,201451.24,MSME_525957563
10,2025,2839865.36,511175.77,Filed,23,189600.2,MSME_525957563
11,2025,4699188.1,845853.86,Filed,0,207765.9,MSME_525957563
12,2025,3512460.32,632242.86,Late,40,111068.69,MSME_525957563
01,2026,3922063.97,705971.51,Filed,0,231985.47,MSME_525957563
02,2026,4062268.42,731208.32,Filed,0,101001.55,MSME_525957563
03,2026,4009416.14,721694.91,Filed,0,100097.76,MSME_525957563
04,2026,5514158.3,992548.49,Filed,0,139253.47,MSME_525957563
05,2026,4427251.08,796905.19,Filed,0,237405.99,MSME_525957563
06,2026,5009135.94,901644.47,Filed,0,301511.95,MSME_525957563
07,2024,3454397.83,621791.61,Filed,0,186267.99,MSME_162672383
08,2024,3472336.52,625020.57,Filed,0,135050.65,MSME_162672383
09,2024,3204873.98,576877.32,Filed,0,139265.01,MSME_162672383
10,2024,3458189.72,622474.15,Filed,0,138287.67,MSME_162672383
11,2024,3627456.17,652942.11,Filed,0,243050.4,MSME_162672383
12,2024,3412183.73,614193.07,Filed,0,200556.24,MSME_162672383
01,2025,3449398.44,620891.72,Filed,0,159160.19,MSME_162672383
02,2025,3444250.75,619965.13,Filed,0,236030.13,MSME_162672383
03,2025,3331436.22,599658.52,Filed,0,214553.52,MSME_162672383
04,2025,3642387.85,655629.81,Filed,0,102201.4,MSME_162672383
05,2025,3348852.68,602793.48,Filed,0,127587.6,MSME_162672383
06,2025,3636672.07,654600.97,Filed,0,176350.98,MSME_162672383
07,2025,3334473.76,600205.28,Filed,0,78981.31,MSME_162672383
08,2025,3569890.34,642580.26,Filed,0,91409.86,MSME_162672383
09,2025,3625945.75,652670.24,Filed,0,84284.06,MSME_162672383
10,2025,3684909.86,663283.77,Filed,0,133173.55,MSME_162672383
