month,year,total_inflow_volume_inr,inflow_transaction_count,average_ticket_size_inr,total_outflow_volume_inr,outflow_transaction_count,unique_counterparties_in,failed_transaction_rate_pct,business_id
06,2025,3670036.54,642,5716.57,2459147.11,738,349,0.28,MSME_183828071
07,2025,3650112.32,2090,1746.47,2145207.96,2137,1375,2.92,MSME_183828071
08,2025,3277300.33,346,9471.97,2517380.85,315,171,2.48,MSME_183828071
09,2025,2943655.1,221,13319.71,1577337.95,255,114,1.88,MSME_183828071
10,2025,3824958.29,378,10118.94,3010349.17,433,124,0.71,MSME_183828071
11,2025,3692740.2,394,9372.44,2872219.02,341,215,1.4,MSME_183828071
12,2025,2970510.32,1403,2117.26,2247948.57,1451,491,2.47,MSME_183828071
01,2026,3286628.1,1073,3063.03,1935226.25,1086,499,2.79,MSME_183828071
02,2026,2784990.45,557,4999.98,1946878.61,607,292,0.15,MSME_183828071
03,2026,3160550.12,780,4051.99,2383191.67,859,342,1.71,MSME_183828071
04,2026,2733039.5,3118,876.54,1484623.09,3549,1386,2.11,MSME_183828071
05,2026,2554883.74,365,6999.68,1959035.47,315,157,0.33,MSME_183828071
06,2026,3943739.0,1536,2567.54,2135768.9,1567,468,2.21,MSME_183828071
07,2024,2942241.65,572,5143.78,1606549.62,613,273,1.77,MSME_034019509
08,2024,3106877.43,556,5587.91,2156055.95,520,196,1.3,MSME_034019509
09,2024,2377875.52,1999,1189.53,1302977.06,2292,914,0.85,MSME_034019509
10,2024,3028168.62,3191,948.97,2091680.44,3502,1455,0.62,MSME_034019509
11,2024,3524349.32,440,8009.88,2186027.95,358,276,1.71,MSME_034019509
12,2024,4388541.75,3443,1274.63,2892701.97,3263,1307,0.96,MSME_034019509
01,2025,3050539.25,1606,1899.46,1804233.91,1586,1060,2.74,MSME_034019509
02,2025,2936187.84,211,13915.58,1471866.53,235,140,0.57,MSME_034019509
03,2025,2951704.9,612,4823.05,2079348.43,586,314,0.59,MSME_034019509
04,2025,2979811.74,4013,742.54,1913081.24,3538,2375,2.6,MSME_034019509
05,2025,3303569.94,960,3441.22,1894102.75,1066,357,0.63,MSME_034019509
06,2025,2515308.8,397,6335.79,1730287.64,401,267,1.08,MSME_034019509
07,2025,3888918.35,275,14141.52,2999602.53,279,89,2.82,MSME_034019509
08,2025,2869389.74,1473,1947.99,1706645.85,1741,867,2.68,MSME_034019509
09,2025,2522159.81,224,11259.64,1534906.32,210,124,2.4,MSME_034019509
10,2025,4707003.82,365,12895.9,3281710.67,331,163,0.56,MSME_034019509
11,2025,3100502.5,300,10335.01,2190820.58,327,168,1.88,MSME_034019509
12,2025,3114106.82,438,7109.83,1964209.87,365,161,1.98,MSME_034019509
01,2026,4350473.77,567,7672.79,2486557.31,620,376,1.45,MSME_034019509
02,2026,4140340.0,310,13355.94,3144671.68,346,183,0.4,MSME_034019509
03,2026,4441836.61,603,7366.23,2774432.43,665,250,0.88,MSME_034019509
04,2026,3642499.46,1047,3478.99,2874953.8,1107,435,2.35,MSME_034019509
05,2026,3004953.72,876,3430.31,1694720.44,860,510,0.63,MSME_034019509
06,2026,2953622.45,243,12154.82,1738284.46,254,126,0.65,MSME_034019509
07,2024,1940781.62,273,7109.09,1328322.85,309,161,2.29,MSME_214428928
08,2024,1483186.56,536,2767.14,1008459.09,525,260,1.12,MSME_214428928
09,2024,1696423.0,160,10602.64,1201833.26,185,59,1.55,MSME_214428928
10,2024,1763387.87,233,7568.19,1119621.0,189,86,0.26,MSME_214428928
11,2024,1615421.57,146,11064.53,990475.56,124,55,1.37,MSME_214428928
12,2024,1715722.51,259,6624.41,968790.8,290,136,2.8,MSME_214428928
01,2025,1498165.17,653,2294.28,991046.45,700,292,1.89,MSME_214428928
02,2025,2403147.44,569,4223.46,1454865.77,672,174,1.07,MSME_214428928
03,2025,2069351.9,224,9238.18,1510150.79,261,96,0.31,MSME_214428928
04,2025,1946394.86,147,13240.78,1103962.01,148,51,0.53,MSME_214428928
05,2025,1659566.47,151,10990.51,1095337.59,130,97,1.85,MSME_214428928
06,2025,1914964.52,329,5820.56,1166254.03,365,158,0.14,MSME_214428928
07,2025,1624775.46,275,5908.27,925630.96,322,159,2.86,MSME_214428928
08,2025,1696400.32,516,3287.6,1250154.54,449,300,1.9,MSME_214428928
09,2025,2182191.65,242,9017.32,1521924.18,233,89,2.12,MSME_214428928
10,2025,1752903.31,551,3181.31,1378577.19,581,342,0.44,MSME_214428928
11,2025,1683223.72,154,10930.02,1059768.15,150,53,1.69,MSME_214428928
12,2025,1799399.99,419,4294.51,959743.37,388,140,1.94,MSME_214428928
01,2026,2097658.3,388,5406.34,1498525.09,448,129,0.69,MSME_214428928
02,2026,2468394.1,1288,1916.46,1595446.7,1382,484,1.84,MSME_214428928
03,2026,2319219.66,1523,1522.8,1613557.01,1459,799,1.92,MSME_214428928
04,2026,2135041.82,1698,1257.39,1387742.33,1456,720,2.28,MSME_214428928
05,2026,2191094.72,337,6501.76,1181388.71,328,125,1.04,MSME_214428928
06,2026,2046763.02,175,11695.79,1138028.81,164,88,0.79,MSME_214428928
07,2024,477312.53,43,11100.29,238839.14,45,25,1.25,MSME_070025084
08,2024,535453.9,56,9561.68,358060.81,58,35,0.88,MSME_070025084
09,2024,444641.27,430,1034.05,346702.67,370,259,0.11,MSME_070025084
10,2024,663126.16,59,11239.43,442547.79,65,38,1.36,MSME_070025084
11,2024,515550.63,111,4644.6,288442.32,89,59,1.74,MSME_070025084
12,2024,504210.22,53,9513.4,339988.32,48,29,1.38,MSME_070025084
01,2025,617081.14,224,2754.83,437909.95,222,116,0.17,MSME_070025084
02,2025,359738.8,145,2480.96,219431.96,120,73,2.98,MSME_070025084
03,2025,555162.41,38,14609.54,386226.3,32,24,0.88,MSME_070025084
04,2025,487036.1,46,10587.74,303715.89,45,20,2.44,MSME_070025084
05,2025,435567.53,136,3202.7,262982.63,123,92,0.15,MSME_070025084
06,2025,561428.02,137,4098.01,310404.51,113,43,1.98,MSME_070025084
07,2025,315795.19,24,13158.13,233879.75,23,7,1.76,MSME_070025084
08,2025,402006.1,33,12182.0,291804.11,33,17,0.57,MSME_070025084
09,2025,425409.68,56,7596.6,293099.47,55,37,0.21,MSME_070025084
10,2025,564489.49,171,3301.11,304155.61,181,107,1.59,MSME_070025084
11,2025,355562.05,51,6971.8,187599.4,51,32,2.49,MSME_070025084
12,2025,478480.07,73,6554.52,351234.89,80,33,0.92,MSME_070025084
01,2026,467670.36,41,11406.59,251648.77,35,18,1.92,MSME_070025084
02,2026,270993.27,21,12904.44,184857.61,21,14,2.23,MSME_070025084
03,2026,637342.38,152,4193.04,341948.49,156,67,1.37,MSME_070025084
04,2026,448265.05,30,14942.17,237926.09,27,13,0.98,MSME_070025084
05,2026,550487.35,153,3597.96,415189.72,174,106,0.53,MSME_070025084
06,2026,390806.88,121,3229.81,293364.6,99,71,2.56,MSME_070025084
07,2024,1411138.83,294,4799.79,1113555.24,315,182,1.44,MSME_085681004
08,2024,1269179.44,104,12203.65,704712.12,106,65,1.57,MSME_085681004
09,2024,1172663.32,136,8622.52,619000.17,161,75,2.37,MSME_085681004
10,2024,1210892.01,252,4805.13,736964.31,221,127,1.03,MSME_085681004
11,2024,1048972.67,163,6435.42,629103.9,184,109,1.73,MSME_085681004
12,2024,1392205.33,242,5752.91,974237.45,199,159,2.2,MSME_085681004
01,2025,1222779.78,151,8097.88,817995.7,162,62,1.73,MSME_085681004
02,2025,1380541.86,187,7382.58,919522.9,175,118,2.98,MSME_085681004
03,2025,1413741.63,95,14881.49,827687.86,83,44,0.88,MSME_085681004
04,2025,1088361.47,83,13112.79,631771.62,81,25,2.75,MSME_085681004
05,2025,1164068.28,117,9949.3,604188.75,137,44,1.67,MSME_085681004
06,2025,1637358.37,130,12595.06,1007898.63,152,48,0.46,MSME_085681004
07,2025,1198593.79,230,5211.28,958463.96,223,106,0.85,MSME_085681004
08,2025,1153376.74,95,12140.81,773159.33,91,55,1.82,MSME_085681004
09,2025,1401066.83,163,8595.5,739604.69,195,94,1.23,MSME_085681004
10,2025,1598982.38,169,9461.43,970138.27,200,102,0.61,MSME_085681004
11,2025,1163895.6,375,3103.72,773927.26,442,236,0.54,MSME_085681004
12,2025,1270870.21,103,12338.55,817982.65,120,42,1.15,MSME_085681004
01,2026,1645184.25,182,9039.47,1020777.45,204,72,2.17,MSME_085681004
02,2026,1495457.67,1179,1268.41,1027241.93,959,774,1.14,MSME_085681004
03,2026,1579212.87,128,12337.6,1059494.52,112,49,0.67,MSME_085681004
04,2026,1270376.12,1898,669.32,866859.75,1972,594,1.51,MSME_085681004
05,2026,1846325.79,147,12560.04,965358.94,138,50,2.26,MSME_085681004
06,2026,1344792.35,91,14777.94,786470.07,91,63,2.79,MSME_085681004
07,2024,1064330.02,321,3315.67,590746.8,271,169,2.2,MSME_931200485
08,2024,1020429.88,92,11091.63,776041.21,107,38,0.77,MSME_931200485
09,2024,1075720.77,89,12086.75,616523.58,91,44,2.2,MSME_931200485
10,2024,1155400.79,257,4495.72,791740.69,213,110,0.94,MSME_931200485
11,2024,1135374.3,88,12901.98,586851.35,72,31,1.43,MSME_931200485
12,2024,542557.75,41,13233.12,287904.81,36,26,1.25,MSME_931200485
01,2025,957283.58,268,3571.95,730107.63,238,164,0.91,MSME_931200485
02,2025,946248.31,69,13713.74,618925.99,60,24,0.26,MSME_931200485
03,2025,1324070.23,960,1379.24,958855.89,1093,491,0.12,MSME_931200485
04,2025,1377282.87,122,11289.2,1062465.29,111,79,2.84,MSME_931200485
05,2025,1367838.4,112,12212.84,798495.64,123,59,1.35,MSME_931200485
06,2025,1382408.83,129,10716.35,783639.92,135,56,0.17,MSME_931200485
07,2025,870105.67,731,1190.3,457991.35,866,312,2.67,MSME_931200485
08,2025,1133873.67,310,3657.66,668120.2,331,185,1.78,MSME_931200485
09,2025,1214253.77,168,7227.7,634723.69,183,57,0.48,MSME_931200485
10,2025,1254385.98,94,13344.53,866628.31,103,30,1.7,MSME_931200485
11,2025,984403.77,325,3028.93,681144.52,351,115,1.18,MSME_931200485
12,2025,932168.75,381,2446.64,628717.96,346,259,0.5,MSME_931200485
01,2026,1184195.86,149,7947.62,916191.31,129,60,2.24,MSME_931200485
02,2026,976332.28,72,13560.17,678226.97,72,44,2.2,MSME_931200485
03,2026,711430.69,84,8469.41,480956.61,97,31,0.8,MSME_931200485
04,2026,978334.13,130,7525.65,708675.31,138,61,2.74,MSME_931200485
05,2026,1119573.73,268,4177.51,769678.94,215,95,0.85,MSME_931200485
06,2026,981014.51,87,11276.03,714673.51,77,57,0.83,MSME_931200485
07,2024,600119.83,60,10002.0,326071.23,48,35,1.99,MSME_763628960
08,2024,536119.11,58,9243.43,365167.17,53,20,1.56,MSME_763628960
09,2024,633633.87,47,13481.57,396214.27,46,32,1.12,MSME_763628960
10,2024,648598.74,309,2099.03,334636.61,255,106,1.94,MSME_763628960
11,2024,693013.81,47,14744.97,544760.49,54,14,1.82,MSME_763628960
12,2024,672353.32,46,14616.38,365411.95,52,22,3.0,MSME_763628960
01,2025,761527.83,67,11366.09,407972.14,61,21,0.97,MSME_763628960
02,2025,575540.0,537,1071.77,352666.36,429,272,0.63,MSME_763628960
03,2025,775035.44,71,10915.99,601984.18,80,45,1.16,MSME_763628960
04,2025,712406.11,49,14538.9,493984.8,48,19,2.9,MSME_763628960
05,2025,810389.05,276,2936.19,501272.76,303,122,1.5,MSME_763628960
06,2025,797471.93,73,10924.27,454839.94,80,42,0.73,MSME_763628960
07,2025,699643.82,130,5381.88,454109.17,120,47,1.78,MSME_763628960
08,2025,733552.49,67,10948.54,372467.3,76,37,1.8,MSME_763628960
09,2025,731551.12,79,9260.14,520919.65,93,36,1.21,MSME_763628960
10,2025,725556.57,86,8436.7,371733.5,101,49,1.25,MSME_763628960
11,2025,907339.47,240,3780.58,695316.59,217,130,1.45,MSME_763628960
12,2025,905468.09,66,13719.21,606542.17,57,21,1.18,MSME_763628960
01,2026,807371.5,116,6960.1,523205.99,117,64,1.82,MSME_763628960
02,2026,871438.32,107,8144.28,583942.73,91,68,2.22,MSME_763628960
03,2026,823828.9,293,2811.7,636978.86,329,185,0.27,MSME_763628960
04,2026,835774.57,119,7023.32,607572.93,113,57,2.78,MSME_763628960
05,2026,799837.7,85,9409.86,409883.59,93,48,2.0,MSME_763628960
06,2026,694655.36,322,2157.31,415510.07,273,169,1.81,MSME_763628960
07,2024,3341216.84,540,6187.44,2418648.54,458,178,2.12,MSME_736760380
08,2024,2292228.24,172,13326.91,1556813.83,181,104,0.7,MSME_736760380
09,2024,3547034.06,252,14075.53,1953573.0,294,119,2.95,MSME_736760380
10,2024,2001340.63,242,8270.0,1458852.91,241,148,1.76,MSME_736760380
11,2024,2159911.6,175,12342.35,1348715.74,201,119,2.21,MSME_736760380
12,2024,2243910.06,3864,580.72,1347153.78,3175,1370,2.35,MSME_736760380
01,2025,2591469.6,1660,1561.13,1707060.77,1617,503,2.05,MSME_736760380
02,2025,2047650.41,190,10777.11,1154116.65,211,118,2.1,MSME_736760380
03,2025,3227802.68,222,14539.65,2541499.56,191,114,0.36,MSME_736760380
04,2025,2666275.57,256,10415.14,1591836.92,226,170,0.77,MSME_736760380
05,2025,2318844.13,282,8222.85,1666884.05,332,113,0.84,MSME_736760380
06,2025,1770957.65,167,10604.54,1000855.26,133,84,2.45,MSME_736760380
07,2025,2116807.9,801,2642.71,1173448.98,939,359,0.73,MSME_736760380
08,2025,2786199.53,1801,1547.03,2104038.23,1520,1096,1.36,MSME_736760380
09,2025,2455001.48,229,10720.53,1655440.53,183,71,2.85,MSME_736760380
10,2025,1975136.1,142,13909.41,1541792.77,134,81,1.55,MSME_736760380
11,2025,2551716.06,267,9556.99,1773566.81,220,83,0.52,MSME_736760380
12,2025,2956185.53,278,10633.76,1483304.44,228,164,1.16,MSME_736760380
01,2026,2217274.61,224,9898.55,1460042.94,186,111,0.33,MSME_736760380
02,2026,2396644.53,179,13389.08,1249583.89,193,113,2.52,MSME_736760380
03,2026,2578937.27,179,14407.47,1809245.19,165,76,0.61,MSME_736760380
04,2026,2277843.82,334,6819.89,1425664.79,309,130,0.46,MSME_736760380
05,2026,2490148.95,452,5509.18,1346767.71,463,258,1.03,MSME_736760380
06,2026,1940581.53,498,3896.75,1074174.46,454,338,1.09,MSME_736760380
07,2024,2747097.81,822,3341.97,1465813.32,829,271,1.56,MSME_035854737
08,2024,3349166.04,274,12223.23,2078495.66,233,161,1.75,MSME_035854737
09,2024,3231903.73,376,8595.49,1773236.87,357,138,2.7,MSME_035854737
10,2024,3114674.04,2795,1114.37,2375795.88,2888,1033,0.58,MSME_035854737
11,2024,3632566.51,1512,2402.49,1951078.67,1298,520,0.13,MSME_035854737
12,2024,3038369.87,975,3116.28,2266765.41,858,361,0.39,MSME_035854737
01,2025,2799345.89,267,10484.44,1711657.45,243,100,0.64,MSME_035854737
02,2025,3237551.83,3014,1074.17,2139545.64,2579,1921,2.63,MSME_035854737
03,2025,3703399.35,321,11537.07,2258412.61,272,113,1.52,MSME_035854737
04,2025,3204819.13,223,14371.39,2160500.6,186,118,2.35,MSME_035854737
05,2025,2870541.94,425,6754.22,2063164.66,384,227,2.47,MSME_035854737
06,2025,3554496.76,1264,2812.1,2615092.93,1081,682,2.73,MSME_035854737
07,2025,2991908.27,410,7297.34,1777397.51,474,259,2.34,MSME_035854737
08,2025,3703264.26,273,13565.07,2862926.79,285,154,1.31,MSME_035854737
09,2025,3992065.16,2326,1716.28,3176114.81,2148,1109,0.82,MSME_035854737
10,2025,3557293.15,355,10020.54,1983915.11,296,219,2.88,MSME_035854737
11,2025,3536592.0,238,14859.63,2583664.87,192,137,0.83,MSME_035854737
12,2025,4481009.81,702,6383.2,3095567.53,629,413,0.58,MSME_035854737
01,2026,4338184.19,730,5942.72,2954610.81,706,251,2.92,MSME_035854737
02,2026,3650936.53,473,7718.68,2878776.87,480,207,1.63,MSME_035854737
03,2026,3975454.82,767,5183.12,3042229.71,654,345,1.84,MSME_035854737
04,2026,3374388.88,3078,1096.29,1994699.55,2806,1519,1.88,MSME_035854737
05,2026,3490884.68,273,12787.12,2046981.59,304,113,0.66,MSME_035854737
06,2026,3537381.46,401,8821.4,2644298.23,474,214,0.84,MSME_035854737
07,2024,2437196.76,1644,1482.48,1660250.45,1758,1091,1.97,MSME_832007740
08,2024,2650303.93,194,13661.36,1381602.64,223,81,0.58,MSME_832007740
09,2024,2358200.34,992,2377.22,1776147.08,821,314,0.65,MSME_832007740
10,2024,2894454.86,672,4307.22,1954876.35,572,266,0.25,MSME_832007740
11,2024,2981312.03,295,10106.14,2183464.59,348,197,1.81,MSME_832007740
12,2024,3911927.92,355,11019.52,3050313.51,327,122,0.23,MSME_832007740
01,2025,3041071.63,617,4928.8,2294359.08,581,328,2.63,MSME_832007740
02,2025,3362035.47,401,8384.13,2484805.76,361,181,1.94,MSME_832007740
03,2025,2844723.21,219,12989.6,1555260.12,246,116,1.68,MSME_832007740
04,2025,2659396.66,286,9298.59,1503564.79,232,123,1.55,MSME_832007740
05,2025,2569533.76,672,3823.71,1467522.79,617,448,2.77,MSME_832007740
06,2025,2864742.7,404,7090.95,2074758.2,468,222,2.73,MSME_832007740
07,2025,3563372.18,253,14084.48,2066818.61,259,80,0.46,MSME_832007740
08,2025,3396852.86,6764,502.2,1863749.23,7192,2786,0.4,MSME_832007740
09,2025,2929606.45,209,14017.26,2287595.31,234,69,1.01,MSME_832007740
10,2025,3132760.34,418,7494.64,1728098.13,480,160,2.41,MSME_832007740
11,2025,2694279.66,192,14032.71,1773009.44,191,88,1.86,MSME_832007740
12,2025,3709511.73,579,6406.76,2497802.49,589,212,1.55,MSME_832007740
01,2026,4066845.5,1242,3274.43,2745166.75,1422,719,2.62,MSME_832007740
02,2026,3234051.97,367,8812.13,2460676.61,349,229,2.74,MSME_832007740
03,2026,3469188.8,419,8279.69,2328634.09,491,263,2.95,MSME_832007740
04,2026,3395063.37,620,5475.91,2631460.38,497,191,2.11,MSME_832007740
05,2026,3009766.13,367,8201.0,1896954.36,397,147,2.9,MSME_832007740
06,2026,3769406.18,365,10327.14,2786724.54,342,232,0.34,MSME_832007740
07,2024,823631.63,82,10044.29,540965.26,79,38,2.67,MSME_196720945
08,2024,711133.92,55,12929.71,359681.74,59,30,1.26,MSME_196720945
09,2024,720324.45,56,12862.94,521913.72,50,24,2.52,MSME_196720945
10,2024,636068.49,66,9637.4,334424.89,58,21,2.75,MSME_196720945
11,2024,742758.7,125,5942.07,578964.11,102,57,2.17,MSME_196720945
12,2024,850146.73,58,14657.7,589364.63,56,28,1.27,MSME_196720945
01,2025,800940.4,103,7776.12,434193.62,107,31,0.13,MSME_196720945
02,2025,737661.19,276,2672.69,503614.57,288,184,0.94,MSME_196720945
03,2025,681695.49,912,747.47,409604.99,865,332,1.08,MSME_196720945
04,2025,729826.81,394,1852.35,520229.61,424,240,0.28,MSME_196720945
05,2025,717017.37,191,3754.02,516209.55,163,131,2.52,MSME_196720945
06,2025,868358.39,116,7485.85,443494.22,115,56,1.99,MSME_196720945
07,2025,711909.62,995,715.49,438520.26,1077,319,0.63,MSME_196720945
08,2025,643652.7,394,1633.64,486890.08,354,240,2.38,MSME_196720945
09,2025,744941.42,58,12843.82,522340.93,64,32,0.11,MSME_196720945
10,2025,703004.52,166,4234.97,461742.49,185,54,0.16,MSME_196720945
11,2025,697914.99,62,11256.69,523453.12,60,28,1.83,MSME_196720945
12,2025,714100.4,55,12983.64,494793.72,63,23,2.03,MSME_196720945
01,2026,885873.96,98,9039.53,614988.74,84,64,1.44,MSME_196720945
02,2026,718049.93,121,5934.3,372098.46,144,66,1.91,MSME_196720945
03,2026,873122.21,1523,573.29,580069.61,1564,487,0.98,MSME_196720945
04,2026,751486.4,61,12319.45,566919.58,62,40,1.92,MSME_196720945
05,2026,977647.03,69,14168.8,764772.46,75,33,2.32,MSME_196720945
06,2026,944210.57,95,9939.06,504603.97,83,33,0.74,MSME_196720945
07,2024,3670865.33,247,14861.8,2908714.6,258,161,0.89,MSME_035959819
08,2024,3393057.22,444,7642.02,1805863.82,425,262,2.88,MSME_035959819
09,2024,3184824.92,704,4523.9,1989282.22,683,278,0.87,MSME_035959819
10,2024,3581538.2,240,14923.08,2815448.19,268,167,0.31,MSME_035959819
11,2024,3994506.01,585,6828.22,2962621.53,650,382,0.32,MSME_035959819
12,2024,4098888.41,2123,1930.71,2216503.56,1751,1481,2.94,MSME_035959819
01,2025,3199025.44,1700,1881.78,1765847.16,1485,1115,0.27,MSME_035959819
02,2025,4368776.09,894,4886.77,3407874.76,1029,618,1.67,MSME_035959819
03,2025,3645986.99,259,14077.17,2069866.96,299,167,2.23,MSME_035959819
04,2025,4117350.09,1116,3689.38,3056592.0,1179,679,1.84,MSME_035959819
05,2025,4206838.2,5245,802.07,3310314.93,4210,2563,2.35,MSME_035959819
06,2025,4169770.92,625,6671.63,2200497.45,718,196,1.15,MSME_035959819
07,2025,3113566.45,659,4724.68,1811312.11,720,242,0.75,MSME_035959819
08,2025,4339409.82,341,12725.54,2692101.98,358,127,2.57,MSME_035959819
09,2025,4180136.24,745,5610.92,2318766.05,676,514,2.03,MSME_035959819
10,2025,3910448.57,361,10832.27,2124432.29,316,170,1.2,MSME_035959819
11,2025,2771152.65,308,8997.25,1846823.03,309,153,2.28,MSME_035959819
12,2025,3179544.71,237,13415.8,2250131.4,201,145,2.47,MSME_035959819
01,2026,3299357.49,297,11108.95,1727647.9,340,167,2.21,MSME_035959819
02,2026,4579693.52,312,14678.5,3376124.99,266,157,0.24,MSME_035959819
03,2026,4305371.61,377,11420.08,3235857.17,386,119,1.22,MSME_035959819
04,2026,3499119.59,672,5207.02,2592849.37,647,392,1.91,MSME_035959819
05,2026,3807249.84,587,6485.95,2508029.78,673,312,2.92,MSME_035959819
06,2026,4274218.14,526,8125.89,2537721.52,503,273,0.91,MSME_035959819
07,2024,2709082.43,3137,863.59,1735577.36,2516,2095,0.39,MSME_636250363
08,2024,2995483.44,249,12030.05,2281429.87,247,127,1.8,MSME_636250363
09,2024,2422677.33,542,4469.88,1625876.45,457,334,0.89,MSME_636250363
10,2024,2010702.61,703,2860.17,1130522.8,593,276,0.38,MSME_636250363
11,2024,2497003.64,867,2880.05,1351295.18,724,285,0.58,MSME_636250363
12,2024,2743132.07,544,5042.52,1976329.42,641,290,0.18,MSME_636250363
01,2025,2322940.76,3290,706.06,1652735.36,3785,1334,1.01,MSME_636250363
02,2025,2369416.72,469,5052.06,1863500.33,517,260,0.13,MSME_636250363
03,2025,2501710.4,205,12203.47,1713017.16,170,129,0.4,MSME_636250363
04,2025,2613072.29,2518,1037.76,1898148.27,2956,1657,1.78,MSME_636250363
05,2025,2533647.87,709,3573.55,1582345.37,577,287,2.31,MSME_636250363
06,2025,2705992.1,705,3838.29,1615030.42,759,216,2.9,MSME_636250363
07,2025,2363360.25,527,4484.55,1590699.67,512,209,1.95,MSME_636250363
08,2025,2923455.02,208,14055.07,1941484.59,194,67,1.67,MSME_636250363
09,2025,2404938.17,225,10688.61,1791696.21,254,74,0.78,MSME_636250363
10,2025,3066922.77,214,14331.41,1889909.84,178,140,1.78,MSME_636250363
11,2025,3369504.28,240,14039.6,2492854.06,286,108,0.24,MSME_636250363
12,2025,2842025.42,476,5970.64,1658060.51,425,243,1.56,MSME_636250363
01,2026,2918891.88,348,8387.62,1942138.67,288,171,0.19,MSME_636250363
02,2026,2608841.88,243,10735.97,1871318.69,233,155,2.82,MSME_636250363
03,2026,3148091.99,4131,762.07,1943307.05,4623,2231,2.75,MSME_636250363
04,2026,2816749.23,221,12745.47,1633055.48,188,80,1.49,MSME_636250363
05,2026,2347444.7,580,4047.32,1567675.7,647,331,1.6,MSME_636250363
06,2026,3700729.94,271,13655.83,2567388.66,280,83,1.42,MSME_636250363
07,2024,804701.71,90,8941.13,459435.32,77,34,2.12,MSME_190761452
08,2024,761866.17,251,3035.32,423708.96,266,154,2.33,MSME_190761452
09,2024,734920.22,58,12671.04,498712.61,65,26,2.2,MSME_190761452
10,2024,891499.18,231,3859.3,688001.93,251,145,2.56,MSME_190761452
11,2024,838962.64,119,7050.11,442138.61,113,67,1.3,MSME_190761452
12,2024,971398.63,105,9251.42,620423.13,104,58,0.62,MSME_190761452
01,2025,923434.91,219,4216.6,526569.07,197,139,2.45,MSME_190761452
02,2025,648036.86,63,10286.3,368898.11,74,27,1.18,MSME_190761452
03,2025,634268.58,158,4014.36,317697.95,161,100,1.37,MSME_190761452
04,2025,601182.5,41,14662.99,474732.95,35,14,1.54,MSME_190761452
05,2025,716491.41,641,1117.77,538902.29,659,205,2.0,MSME_190761452
06,2025,633881.06,51,12429.04,317140.87,51,21,0.27,MSME_190761452
07,2025,528422.96,53,9970.24,311552.76,59,36,2.99,MSME_190761452
